SLUR RATE,PROP CON,TR PRESS
100.6,0.30000000000000004,8154.0
100.6,0.30000000000000004,8151.0
100.5,0.30000000000000004,8161.0
100.6,0.30000000000000004,8152.0
100.6,0.30000000000000004,8152.0
100.6,0.30000000000000004,8149.0
100.7,0.30000000000000004,8148.0
100.6,0.30000000000000004,8152.0
100.6,0.30000000000000004,8157.0
100.6,0.30000000000000004,8152.0
100.7,0.30000000000000004,8145.0
100.7,0.30000000000000004,8155.0
100.6,0.30000000000000004,8143.0
100.6,0.30000000000000004,8148.0
100.6,0.30000000000000004,8145.0
100.6,0.30000000000000004,8140.0
100.6,0.30000000000000004,8145.0
100.6,0.30000000000000004,8147.0
100.6,0.30000000000000004,8148.0
100.7,0.30000000000000004,8144.0
100.6,0.30000000000000004,8145.0
100.6,0.30000000000000004,8154.0
100.7,0.30000000000000004,8141.0
100.6,0.30000000000000004,8140.0
100.7,0.30000000000000004,8143.0
100.6,0.30000000000000004,8144.0
100.6,0.30000000000000004,8139.0
100.5,0.30000000000000004,8157.0
100.6,0.30000000000000004,8150.0
100.7,0.30000000000000004,8141.0
100.7,0.30000000000000004,8148.0
100.6,0.30000000000000004,8138.0
100.6,0.30000000000000004,8148.0
100.6,0.30000000000000004,8164.0
100.6,0.30000000000000004,8151.0
100.6,0.30000000000000004,8152.0
100.5,0.30000000000000004,8149.0
100.6,0.30000000000000004,8150.0
100.7,0.30000000000000004,8156.0
100.6,0.30000000000000004,8153.0
100.7,0.30000000000000004,8158.0
100.7,0.30000000000000004,8165.0
100.8,0.30000000000000004,8171.0
100.8,0.30000000000000004,8170.0
100.8,0.30000000000000004,8178.0
100.9,0.30000000000000004,8173.0
100.9,0.30000000000000004,8183.0
100.8,0.30000000000000004,8189.0
100.8,0.30000000000000004,8175.0
100.8,0.30000000000000004,8180.0
100.8,0.30000000000000004,8176.0
100.8,0.30000000000000004,8177.0
100.8,0.30000000000000004,8194.0
100.7,0.30000000000000004,8183.0
100.7,0.30000000000000004,8178.0
100.9,0.30000000000000004,8178.0
100.8,0.30000000000000004,8164.0
100.8,0.30000000000000004,8179.0
100.7,0.30000000000000004,8174.0
100.7,0.30000000000000004,8168.0
100.8,0.30000000000000004,8175.0
100.7,0.30000000000000004,8167.0
100.7,0.30000000000000004,8164.0
100.5,0.30000000000000004,8178.0
100.6,0.30000000000000004,8171.0
100.6,0.30000000000000004,8178.0
100.5,0.30000000000000004,8180.0
100.5,0.30000000000000004,8169.0
100.5,0.30000000000000004,8174.0
100.4,0.30000000000000004,8175.0
100.5,0.30000000000000004,8167.0
100.5,0.30000000000000004,8176.0
100.6,0.30000000000000004,8168.0
100.5,0.30000000000000004,8164.0
100.6,0.30000000000000004,8169.0
100.4,0.30000000000000004,8162.0
100.4,0.30000000000000004,8170.0
100.2,0.30000000000000004,8176.0
100.6,0.30000000000000004,8166.0
100.6,0.30000000000000004,8176.0
100.6,0.30000000000000004,8171.0
100.7,0.30000000000000004,8167.0
100.5,0.30000000000000004,8176.0
100.5,0.30000000000000004,8174.0
100.6,0.30000000000000004,8167.0
100.6,0.30000000000000004,8182.0
100.8,0.30000000000000004,8174.0
100.6,0.30000000000000004,8176.0
100.6,0.30000000000000004,8170.0
100.7,0.30000000000000004,8165.0
100.7,0.30000000000000004,8175.0
100.8,0.30000000000000004,8175.0
100.8,0.30000000000000004,8171.0
100.9,0.30000000000000004,8184.0
100.7,0.30000000000000004,8184.0
100.7,0.30000000000000004,8174.0
100.7,0.30000000000000004,8182.0
100.8,0.30000000000000004,8171.0
100.8,0.30000000000000004,8170.0
100.9,0.30000000000000004,8178.0
101.0,0.30000000000000004,8168.0
100.9,0.30000000000000004,8175.0
100.9,0.30000000000000004,8173.0
100.9,0.30000000000000004,8161.0
100.9,0.30000000000000004,8157.0
101.0,0.30000000000000004,8168.0
101.0,0.30000000000000004,8170.0
101.0,0.30000000000000004,8178.0
100.9,0.30000000000000004,8172.0
100.8,0.30000000000000004,8160.0
100.9,0.30000000000000004,8165.0
100.9,0.30000000000000004,8160.0
100.9,0.30000000000000004,8162.0
100.9,0.30000000000000004,8172.0
100.8,0.30000000000000004,8157.0
100.8,0.5,8154.0
100.8,0.5,8154.0
100.8,0.5,8147.0
100.9,0.5,8158.0
100.8,0.5,8152.0
100.8,0.5,8146.0
100.8,0.5,8158.0
100.9,0.5,8153.0
100.8,0.5,8145.0
100.9,0.5,8139.0
101.0,0.5,8138.0
101.0,0.5,8144.0
100.8,0.5,8147.0
100.8,0.5,8139.0
100.6,0.5,8134.0
100.6,0.5,8137.0
100.6,0.5,8135.0
100.7,0.5,8150.0
100.6,0.5,8144.0
100.7,0.5,8128.0
100.6,0.5,8128.0
100.6,0.5,8123.0
100.7,0.5,8134.0
100.8,0.5,8139.0
100.9,0.5,8132.0
100.9,0.5,8123.0
100.9,0.5,8125.0
101.2,0.5,8122.0
101.1,0.5,8130.0
101.1,0.5,8123.0
101.0,0.5,8118.0
101.1,0.5,8133.0
101.0,0.5,8125.0
101.0,0.5,8116.0
101.0,0.5,8118.0
101.0,0.5,8109.0
101.0,0.5,8119.0
101.0,0.5,8120.0
101.1,0.5,8110.0
101.1,0.5,8120.0
101.1,0.5,8109.0
100.9,0.5,8114.0
100.9,0.5,8125.0
100.9,0.5,8113.0
100.9,0.5,8113.0
100.9,0.5,8112.0
100.8,0.5,8114.0
100.9,0.5,8115.0
100.9,0.5,8119.0
100.9,0.5,8108.0
100.7,0.5,8111.0
100.8,0.5,8112.0
100.8,0.5,8107.0
100.6,0.5,8126.0
100.7,0.5,8113.0
100.7,0.5,8112.0
100.8,0.5,8116.0
100.7,0.5,8109.0
100.8,0.5,8121.0
100.8,0.5,8123.0
100.7,0.5,8119.0
100.8,0.5,8127.0
100.8,0.5,8123.0
100.8,0.5,8121.0
100.7,0.5,8120.0
100.7,0.5,8126.0
100.7,0.5,8125.0
100.7,0.5,8128.0
100.7,0.5,8126.0
100.7,0.5,8119.0
100.8,0.5,8120.0
100.9,0.5,8117.0
100.9,0.5,8125.0
100.8,0.5,8126.0
100.7,0.5,8126.0
100.9,0.5,8125.0
100.9,0.5,8110.0
100.9,0.5,8120.0
100.8,0.5,8130.0
100.9,0.5,8119.0
100.9,0.5,8117.0
100.9,0.5,8110.0
100.9,0.5,8108.0
100.8,0.5,8117.0
100.8,0.5,8127.0
100.6,0.5,8116.0
100.6,0.5,8115.0
100.6,0.5,8112.0
100.6,0.5,8103.0
100.6,0.5,8118.0
100.6,0.5,8109.0
100.7,0.5,8107.0
100.7,0.5,8117.0
100.8,0.5,8105.0
100.8,0.5,8103.0
100.7,0.5,8103.0
100.6,0.5,8103.0
100.6,0.5,8108.0
100.6,0.5,8102.0
100.6,0.5,8104.0
100.6,0.5,8103.0
100.7,0.5,8099.0
100.6,0.5,8099.0
100.6,0.5,8107.0
100.7,0.5,8101.0
100.7,0.5,8099.0
100.7,0.5,8104.0
100.8,0.5,8090.0
100.8,0.5,8099.0
100.6,0.5,8105.0
100.7,0.5,8103.0
100.7,0.5,8108.0
100.7,0.5,8091.0
100.5,0.5,8098.0
100.5,0.5,8117.0
100.5,0.5,8100.0
100.6,0.5,8105.0
100.5,0.5,8120.0
100.6,0.5,8098.0
100.6,0.5,8109.0
100.6,0.5,8107.0
100.5,0.5,8107.0
100.5,0.5,8113.0
100.5,0.5,8108.0
100.6,0.5,8105.0
100.5,0.5,8111.0
100.4,0.5,8101.0
100.5,0.5,8112.0
100.5,0.5,8116.0
100.5,0.5,8109.0
100.7,0.5,8117.0
100.6,0.5,8113.0
100.7,0.5,8110.0
100.8,0.5,8117.0
101.0,0.5,8096.0
100.9,0.5,8113.0
100.8,0.5,8113.0
100.8,0.5,8095.0
100.7,0.5,8111.0
100.6,0.5,8111.0
100.8,0.5,8106.0
100.8,0.5,8105.0
100.9,0.5,8100.0
100.8,0.5,8099.0
100.7,0.5,8100.0
100.8,0.5,8100.0
100.8,0.5,8108.0
100.7,0.5,8110.0
100.7,0.5,8105.0
100.7,0.5,8099.0
100.8,0.5,8097.0
100.8,0.5,8093.0
100.9,0.5,8118.0
100.8,0.5,8102.0
100.7,0.5,8099.0
100.7,0.5,8097.0
100.7,0.5,8087.0
100.7,0.5,8103.0
100.6,0.5,8099.0
100.7,0.5,8091.0
100.7,0.5,8110.0
100.6,0.5,8099.0
100.6,0.5,8091.0
100.7,0.5,8109.0
100.7,0.5,8100.0
100.6,0.5,8105.0
100.6,0.5,8095.0
100.7,0.5,8098.0
100.7,0.5,8103.0
100.7,0.5,8101.0
100.6,0.5,8096.0
100.7,0.5,8098.0
100.7,0.5,8104.0
100.6,0.5,8102.0
100.5,0.5,8100.0
100.6,0.5,8095.0
100.8,0.5,8102.0
100.7,0.5,8109.0
100.5,0.5,8098.0
100.5,0.5,8103.0
100.6,0.5,8100.0
100.7,0.5,8097.0
100.7,0.5,8102.0
100.7,0.5,8101.0
100.7,0.5,8098.0
100.8,0.5,8101.0
100.8,0.5,8091.0
100.7,0.5,8101.0
100.6,0.5,8108.0
100.6,0.5,8103.0
100.5,0.5,8090.0
100.6,0.5,8095.0
100.6,0.5,8094.0
100.5,0.5,8102.0
100.4,0.5,8100.0
100.3,0.5,8091.0
100.3,0.5,8097.0
100.4,0.5,8097.0
100.5,0.5,8089.0
100.5,0.5,8095.0
100.5,0.5,8093.0
100.5,0.5,8092.0
100.4,0.5,8099.0
100.5,0.5,8095.0
100.4,0.5,8093.0
100.5,0.5,8093.0
100.6,0.5,8093.0
100.5,0.7000000000000001,8102.0
100.5,0.7000000000000001,8112.0
100.6,0.7000000000000001,8093.0
100.6,0.7000000000000001,8095.0
100.6,0.7000000000000001,8097.0
100.5,0.7000000000000001,8093.0
100.5,0.7000000000000001,8116.0
100.5,0.7000000000000001,8102.0
100.6,0.7000000000000001,8098.0
100.7,0.7000000000000001,8108.0
100.7,0.7000000000000001,8092.0
100.7,0.7000000000000001,8109.0
100.7,0.7000000000000001,8110.0
100.7,0.7000000000000001,8097.0
100.6,0.7000000000000001,8100.0
100.6,0.7000000000000001,8103.0
100.6,0.7000000000000001,8096.0
100.6,0.7000000000000001,8102.0
100.7,0.7000000000000001,8095.0
100.7,0.7000000000000001,8094.0
100.6,0.7000000000000001,8101.0
100.6,0.7000000000000001,8101.0
100.6,0.7000000000000001,8102.0
100.7,0.7000000000000001,8093.0
100.8,0.7000000000000001,8088.0
100.8,0.7000000000000001,8104.0
100.8,0.7000000000000001,8097.0
100.8,0.7000000000000001,8087.0
100.8,0.7000000000000001,8094.0
100.7,0.7000000000000001,8091.0
100.6,0.7000000000000001,8094.0
100.7,0.7000000000000001,8098.0
100.8,0.7000000000000001,8091.0
100.8,0.7000000000000001,8095.0
100.8,0.7000000000000001,8082.0
100.8,0.7000000000000001,8073.0
100.7,0.7000000000000001,8089.0
100.7,0.7000000000000001,8086.0
100.6,0.7000000000000001,8088.0
100.7,0.7000000000000001,8081.0
100.9,0.7000000000000001,8081.0
100.9,0.7000000000000001,8076.0
100.9,0.7000000000000001,8091.0
101.0,0.7000000000000001,8088.0
101.1,0.7000000000000001,8089.0
101.2,0.7000000000000001,8085.0
101.0,0.7000000000000001,8085.0
101.0,0.7000000000000001,8095.0
100.9,0.7000000000000001,8077.0
101.0,0.7000000000000001,8078.0
100.9,0.7000000000000001,8087.0
100.9,0.7000000000000001,8083.0
100.9,0.7000000000000001,8092.0
100.9,0.7000000000000001,8091.0
100.9,0.7000000000000001,8094.0
100.7,0.7000000000000001,8107.0
100.7,0.7000000000000001,8096.0
100.6,0.7000000000000001,8091.0
100.6,0.7000000000000001,8092.0
100.8,0.7000000000000001,8101.0
100.7,0.7000000000000001,8099.0
100.6,0.7000000000000001,8107.0
100.6,0.7000000000000001,8107.0
100.5,0.7000000000000001,8100.0
100.5,0.7000000000000001,8105.0
100.5,0.7000000000000001,8101.0
100.5,0.7000000000000001,8098.0
100.5,0.7000000000000001,8109.0
100.4,0.7000000000000001,8112.0
100.4,0.7000000000000001,8105.0
100.4,0.7000000000000001,8101.0
100.4,0.7000000000000001,8098.0
100.5,0.7000000000000001,8107.0
100.5,0.7000000000000001,8105.0
100.7,0.7000000000000001,8106.0
100.8,0.7000000000000001,8107.0
100.8,0.7000000000000001,8111.0
100.7,0.7000000000000001,8096.0
100.7,0.7000000000000001,8112.0
100.7,0.7000000000000001,8105.0
100.6,0.7000000000000001,8112.0
100.5,0.7000000000000001,8111.0
100.4,0.7000000000000001,8110.0
100.3,0.7000000000000001,8112.0
100.0,0.7000000000000001,8105.0
100.0,0.7000000000000001,8101.0
100.1,0.7000000000000001,8110.0
100.2,0.7000000000000001,8103.0
100.2,0.7000000000000001,8102.0
100.4,0.7000000000000001,8103.0
100.5,0.7000000000000001,8095.0
100.5,0.7000000000000001,8101.0
100.4,0.7000000000000001,8110.0
100.3,0.7000000000000001,8101.0
100.4,0.7000000000000001,8098.0
100.2,0.7000000000000001,8092.0
100.3,0.7000000000000001,8090.0
100.4,0.7000000000000001,8107.0
100.4,0.7000000000000001,8096.0
100.4,0.7000000000000001,8097.0
100.5,0.7000000000000001,8111.0
100.5,0.7000000000000001,8089.0
100.4,1.0,8092.0
100.4,1.0,8100.0
100.4,1.0,8097.0
100.4,1.0,8111.0
100.5,1.0,8103.0
100.5,1.0,8094.0
100.7,1.0,8092.0
100.8,1.0,8102.0
101.0,1.0,8095.0
100.9,1.0,8108.0
101.0,1.0,8097.0
101.0,1.0,8107.0
100.9,1.0,8103.0
100.8,1.0,8097.0
100.9,1.0,8102.0
100.9,1.0,8104.0
100.9,1.0,8101.0
100.9,1.0,8103.0
100.8,1.0,8100.0
100.9,1.0,8106.0
100.8,1.0,8105.0
100.8,1.0,8094.0
100.9,1.0,8111.0
100.9,1.0,8107.0
100.9,1.0,8097.0
100.9,1.0,8103.0
101.0,1.0,8098.0
100.9,1.0,8102.0
100.9,1.0,8115.0
100.9,1.0,8102.0
100.8,1.0,8105.0
100.9,1.0,8102.0
100.8,1.0,8108.0
100.7,1.0,8102.0
100.7,1.0,8108.0
100.8,1.0,8103.0
100.7,1.0,8097.0
100.7,1.0,8095.0
100.7,1.0,8092.0
100.7,1.0,8102.0
100.7,1.0,8100.0
100.6,1.0,8106.0
100.5,1.0,8103.0
100.6,1.0,8099.0
100.6,1.0,8105.0
100.6,1.0,8101.0
100.6,1.0,8101.0
100.5,1.0,8101.0
100.4,1.0,8094.0
100.6,1.0,8101.0
100.5,1.0,8104.0
100.6,1.0,8111.0
100.8,1.0,8101.0
100.9,1.0,8099.0
101.0,1.0,8107.0
101.1,1.0,8104.0
101.0,1.0,8112.0
100.9,1.0,8107.0
101.0,1.0,8104.0
101.0,1.0,8112.0
101.0,1.0,8097.0
101.0,1.0,8101.0
100.9,1.0,8100.0
100.8,1.0,8099.0
100.9,1.0,8108.0
100.8,1.0,8110.0
100.7,1.0,8102.0
100.5,1.0,8095.0
100.6,1.0,8093.0
100.6,1.0,8100.0
100.7,1.0,8099.0
100.6,1.0,8111.0
100.6,1.0,8106.0
100.5,1.0,8102.0
100.5,1.0,8084.0
100.6,1.0,8104.0
100.6,1.0,8107.0
100.7,1.0,8103.0
100.8,1.0,8101.0
100.9,1.0,8095.0
100.9,1.0,8093.0
100.8,1.0,8107.0
100.7,1.0,8109.0
100.7,1.0,8104.0
100.7,1.0,8103.0
100.8,1.0,8095.0
100.8,1.0,8099.0
100.8,1.0,8101.0
100.8,1.0,8095.0
100.8,1.0,8112.0
100.7,1.0,8095.0
100.7,1.0,8102.0
100.7,1.0,8099.0
100.8,1.0,8090.0
100.6,1.0,8102.0
100.6,1.0,8111.0
100.6,1.0,8101.0
100.6,1.0,8106.0
100.6,1.0,8095.0
100.6,1.0,8094.0
100.7,1.0,8111.0
100.7,1.0,8103.0
100.8,1.0,8110.0
100.8,1.0,8112.0
100.8,1.0,8092.0
100.9,1.0,8105.0
100.9,1.0,8106.0
100.9,1.0,8099.0
100.7,1.0,8117.0
100.8,1.0,8103.0
100.6,1.0,8102.0
100.6,1.0,8106.0
100.6,1.0,8098.0
100.7,1.0,8108.0
100.6,1.0,8107.0
100.7,1.0,8098.0
100.7,1.0,8099.0
100.7,1.0,8097.0
100.7,1.0,8091.0
100.9,1.0,8103.0
100.8,1.0,8099.0
101.0,1.0,8101.0
101.0,1.0,8111.0
100.9,1.0,8090.0
100.8,1.0,8088.0
100.8,1.0,8092.0
100.9,1.0,8085.0
100.9,1.0,8088.0
100.8,1.0,8100.0
100.6,1.0,8093.0
100.6,1.0,8084.0
100.7,1.0,8092.0
100.7,1.0,8094.0
100.8,1.0,8086.0
100.6,1.0,8088.0
100.7,1.0,8086.0
100.7,1.0,8084.0
100.8,1.0,8094.0
100.8,1.0,8084.0
100.8,1.0,8083.0
100.8,1.0,8081.0
100.8,1.0,8079.0
100.9,1.0,8085.0
100.9,1.0,8084.0
100.9,1.0,8086.0
100.9,1.0,8085.0
100.9,1.0,8080.0
100.8,1.0,8087.0
100.9,1.0,8085.0
101.0,1.0,8083.0
101.0,1.0,8103.0
100.9,1.0,8092.0
100.8,1.0,8084.0
100.8,1.0,8089.0
100.6,1.0,8079.0
100.7,1.0,8093.0
100.6,1.0,8109.0
100.8,1.0,8101.0
100.8,1.0,8101.0
100.8,1.0,8097.0
100.9,1.0,8085.0
100.9,1.0,8102.0
100.9,1.0,8105.0
101.0,1.0,8107.0
100.8,1.0,8113.0
100.8,1.0,8102.0
100.8,1.0,8104.0
100.7,1.0,8103.0
100.8,1.0,8096.0
100.8,1.0,8113.0
100.8,1.0,8105.0
100.8,1.0,8100.0
100.8,1.0,8104.0
100.9,1.0,8097.0
100.9,1.0,8096.0
100.6,1.0,8111.0
100.5,1.0,8101.0
100.6,1.0,8103.0
100.5,1.0,8101.0
100.5,1.0,8093.0
100.4,1.0,8119.0
100.4,1.0,8105.0
100.3,1.0,8105.0
100.4,1.0,8109.0
100.3,1.0,8095.0
100.2,1.0,8095.0
100.4,1.0,8103.0
100.4,1.0,8110.0
100.4,1.0,8107.0
100.6,1.0,8102.0
100.7,1.0,8098.0
100.7,1.0,8101.0
100.7,1.0,8096.0
101.0,1.0,8105.0
101.0,1.0,8114.0
101.1,1.0,8097.0
101.1,1.0,8103.0
101.0,1.0,8101.0
101.0,1.0,8093.0
101.1,1.0,8108.0
101.0,1.0,8103.0
101.0,1.0,8103.0
101.0,1.0,8115.0
100.8,1.0,8101.0
100.9,1.0,8103.0
101.0,1.0,8102.0
100.8,1.0,8113.0
100.8,1.0,8124.0
100.7,1.0,8111.0
100.8,1.0,8109.0
100.7,1.0,8105.0
100.7,1.0,8114.0
100.7,1.0,8119.0
100.7,1.0,8113.0
100.7,1.0,8102.0
100.6,1.0,8109.0
100.8,1.0,8109.0
100.6,1.0,8109.0
100.6,1.0,8120.0
100.4,1.0,8108.0
100.5,1.0,8107.0
100.5,1.0,8111.0
